puzzle_id,n,t,d,markov_entropy,pattern_score
857,7,3,9,0.0,1.0
858,7,2,8,0.0,1.0
859,2,2,7,0.0,1.0
860,8,1,4,0.0,1.0
861,9,2,8,0.0,1.0
862,4,2,6,0.0,1.0
863,4,7,20,0.0,1.0
864,8,6,17,0.0,1.0
865,4,4,11,1.0,0.36907024642854247
866,5,5,14,0.0,1.0
867,4,4,9,0.0,1.0
868,4,6,15,0.0,1.0
869,4,2,5,0.0,1.0
870,7,6,12,0.0,1.0
871,5,2,5,0.0,1.0
872,9,4,8,0.0,1.0
873,7,3,5,0.0,1.0
874,4,5,8,0.0,1.0
875,7,5,15,0.0,1.0
876,2,2,4,0.0,1.0
877,5,5,12,0.0,1.0
878,6,2,5,0.0,1.0
879,5,7,16,0.0,1.0
880,4,2,8,0.0,1.0
881,5,5,11,0.0,1.0
882,8,1,1,0.0,1.0
